Department,Term,TermStart,AcademicYear,SectionName,SubjectCode,CourseNum,SectionCode,CourseLevelCode,MinimumCredits,FacultyLoad,Used,Day10Used,LocalMax,GlobalMax,RoomCapacity,BuildingAndRoom,MeetingDays,MeetingTime,SectionStartDate,SectionEndDate,Building,RoomNumber,MeetingStart,MeetingStartInternal,MeetingEnd,MeetingEndInternal,Monday,Tuesday,Wednesday,Thursday,Friday,ShortTitle,Faculty,SectionStatus,InstructionalMethod
Mathematics and Statistics,21/FA,8/30/2022,2022,STAT-143-E,STAT,143,E,100,4.00,4.00,28,31,36,36,60,SB 343,MTTHF,2:30PM - 3:20PM,8/30/2022,12/15/2022,SB,343,2:30PM,14:30:00,3:20PM,15:20:00,M,T,,TH,F,Probability and Statistics,Gary Talsma,Active,LEC
Mathematics and Statistics,22/SP,1/10/2022,2022,STAT-145-A,STAT,145,A,100,4.00,4.00,32,,30,35,44,NH 276,MWTHF,12:30PM - 1:20PM,1/10/2022,4/28/2022,NH,276,12:30PM,12:30:00,1:20PM,13:20:00,M,,W,TH,F,Biostatistics,Stacy De Ruiter,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,STAT-145-A,STAT,145,A,100,4.00,4.00,18,19,32,,32,NH 259,MTWF,9:00AM - 9:50AM,8/30/2022,12/15/2022,NH,259,9:00AM,09:00:00,9:50AM,09:50:00,M,T,W,,F,Biostatistics,Thomas L. Scofield,Active,LEC
Mathematics and Statistics,22/SP,1/10/2022,2022,STAT-241-A,STAT,241,A,200,2.00,2.00,26,,26,32,32,NH 259,TTH,11:30AM - 12:20PM,1/10/2022,4/28/2022,NH,259,11:30AM,11:30:00,12:20PM,12:20:00,,T,,TH,,Engineering Statistics,Todd Kapitula,Active,LEC
Mathematics and Statistics,22/SP,1/10/2022,2022,STAT-241-B,STAT,241,B,200,2.00,2.00,25,,26,32,32,NH 259,TTH,12:30PM - 1:20PM,1/10/2022,4/28/2022,NH,259,12:30PM,12:30:00,1:20PM,13:20:00,,T,,TH,,Engineering Statistics,Todd Kapitula,Active,LEC
Mathematics and Statistics,22/SP,1/10/2022,2022,STAT-243-A,STAT,243,A,200,4.00,4.00,19,,18,20,44,NH 276,MTTHF,10:30AM - 11:20AM,1/10/2022,4/28/2022,NH,276,10:30AM,10:30:00,11:20AM,11:20:00,M,T,,TH,F,Statistics,Thomas L. Scofield,Active,LEC
Mathematics and Statistics,22/SP,1/10/2022,2022,STAT-243-B,STAT,243,B,200,4.00,4.00,25,,35,,20,NH 261,MTTHF,8:00AM - 8:50AM,1/10/2022,4/30/2022,NH,261,8:00AM,08:00:00,8:50AM,08:50:00,M,T,,TH,F,Statistics,Thomas L. Scofield,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,STAT-245-A,STAT,245,A,200,4.00,4.00,24,23,24,24,44,NH 276,MTTHF,12:30PM - 1:20PM,8/30/2022,12/15/2022,NH,276,12:30PM,12:30:00,1:20PM,13:20:00,M,T,,TH,F,Applied Data Analysis,Stacy De Ruiter,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,STAT-245-B,STAT,245,B,200,4.00,4.00,21,22,24,24,44,NH 276,MTTHF,2:30PM - 3:20PM,8/30/2022,12/15/2022,NH,276,2:30PM,14:30:00,3:20PM,15:20:00,M,T,,TH,F,Applied Data Analysis,Stacy De Ruiter,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,STAT-343-A,STAT,343,A,300,4.00,4.00,22,26,30,,32,NH 259,MTTHF,1:30PM - 2:20PM,8/30/2022,12/15/2022,NH,259,1:30PM,13:30:00,2:20PM,14:20:00,M,T,,TH,F,Probability & Statistics,Randall Pruim,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,STAT-344-A,STAT,344,A,300,4.00,0.00,1,,20,,0,,,,8/30/2022,12/18/2022,,,,,,,,,,,,Mathematical Statistics,Stacy De Ruiter,Active,TUT
Mathematics and Statistics,22/SP,1/10/2022,2022,STAT-344-A,STAT,344,A,300,4.00,4.00,15,,20,,44,NH 276,MTTHF,1:30PM - 2:20PM,1/10/2022,4/28/2022,NH,276,1:30PM,13:30:00,2:20PM,14:20:00,M,T,,TH,F,Mathematical Statistics,Stacy De Ruiter,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,STAT-383-A,STAT,383,A,300,1.00,0.00,1,,30,30,0,,,,8/30/2022,12/18/2022,,,,,,,,,,,,External Practicum,"Randall Pruim
Meredith Segur",Active,PRAC
Mathematics and Statistics,21/FA,8/30/2022,2022,STAT-385-A,STAT,385,A,300,3.00,3.00,0,,25,25,20,NH 261,MWF,10:30AM - 11:20AM,8/30/2022,12/15/2022,NH,261,10:30AM,10:30:00,11:20AM,11:20:00,M,,W,,F,Topics in Statistics,Christopher Moseley,Active,LEC

